CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
11000,Jon,Yang,Yang Jon,4/8/1966 0:00,M,M,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,1/22/2014 0:00,1 to 2 Miles
11001,Eugene,Huang,Huang Eugene,5/14/1965 0:00,S,M,60000,3,3,Bachelors,Professional,0,1,2243 W St.,1/18/2014 0:00,0 to 1 Miles
11002,Ruben,Torres,Torres Ruben,8/12/1965 0:00,M,M,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,1/10/2014 0:00,2 to 5 Miles
11003,Christy,Zhu,Zhu Christy,2/15/1968 0:00,S,F,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,1/1/2014 0:00,5 to 10 Miles
11004,Elizabeth,Johnson,Johnson Elizabeth,8/8/1968 0:00,S,F,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,1/26/2014 0:00,1 to 2 Miles
11005,Julio,Ruiz,Ruiz Julio,8/5/1965 0:00,S,M,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,1/2/2014 0:00,5 to 10 Miles
11006,Janet,Alvarez,Alvarez Janet,12/6/1965 0:00,S,F,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,1/27/2014 0:00,5 to 10 Miles
11007,Marco,Mehta,Mehta Marco,5/9/1964 0:00,M,M,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,1/12/2014 0:00,0 to 1 Miles
11008,Rob,Verhoff,Verhoff Rob,7/7/1964 0:00,S,F,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,1/28/2014 0:00,10 or more Miles
11009,Shannon,Carlson,Carlson Shannon,4/1/1964 0:00,S,M,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,1/30/2014 0:00,5 to 10 Miles
11010,Jacquelyn,Suarez,Suarez Jacquelyn,2/6/1964 0:00,S,F,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,1/17/2014 0:00,5 to 10 Miles
11011,Curtis,Lu,Lu Curtis,11/4/1963 0:00,M,M,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,1/2/2014 0:00,10 or more Miles
11012,Lauren,Walker,Walker Lauren,1/18/1968 0:00,M,F,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,3/17/2016 0:00,1 to 2 Miles
11013,Ian,Jenkins,Jenkins Ian,8/6/1968 0:00,M,M,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,4/15/2016 0:00,0 to 1 Miles
11014,Sydney,Bennett,Bennett Sydney,5/9/1968 0:00,S,F,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,3/24/2016 0:00,1 to 2 Miles
11015,Chloe,Young,Young Chloe,2/27/1979 0:00,S,F,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,1/22/2016 0:00,5 to 10 Miles
11016,Wyatt,Hill,Hill Wyatt,4/28/1979 0:00,M,M,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,2/13/2016 0:00,5 to 10 Miles
11017,Shannon,Wang,Wang Shannon,6/26/1944 0:00,S,F,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,1/15/2014 0:00,5 to 10 Miles
11018,Clarence,Rai,Rai Clarence,10/9/1944 0:00,S,M,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,1/20/2014 0:00,5 to 10 Miles
11019,Luke,Lal,Lal Luke,3/7/1978 0:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,2/16/2016 0:00,5 to 10 Miles
11020,Jordan,King,King Jordan,9/20/1978 0:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,1/2/2016 0:00,1 to 2 Miles
11021,Destiny,Wilson,Wilson Destiny,9/3/1978 0:00,S,F,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,1/27/2016 0:00,1 to 2 Miles
11022,Ethan,Zhang,Zhang Ethan,10/12/1978 0:00,M,M,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,1/24/2016 0:00,5 to 10 Miles
11023,Seth,Edwards,Edwards Seth,10/11/1978 0:00,M,M,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,2/21/2016 0:00,1 to 2 Miles
11024,Russell,Xie,Xie Russell,9/17/1978 0:00,M,M,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,6/29/2016 0:00,5 to 10 Miles
